"eng","tr","telaffuz","Derece","Tek"
"Scour","Ovmak","Sıkavır","genel","0"
"Speed - Sped/Speeded - Sped/Speeded","Hızlanmak","","genel","0"
"Auction","Açık arttırma, müzayede","Okjın","genel","0"
"Apparel","Kıyafet","Iperıl","genel","0"
"Interval","Aralık, mesafe","İntırvıl","genel","0"
"Bid","Teklif etmek","","genel","0"
"Bid - Bid - Bid  /  Bid - Bade - Bidden","Teklif etmek","","genel","0"
"Bolt","Civata, yıldırım, sürgü, sürgülemek","","genel","0"
"Mane","Yele","Meyn","genel","0"
"Needy","Muhtaç","","genel","0"
"Jump the shark","Tepetaklak olmak, kötüye gitmek","","deyim","0"
"Resignation","İstifa","Rezigneyşın","genel","0"
"Midwife","Ebe","","genel","0"
"Railing","Trabzan, korkuluk","","genel","0"
"Strike - Struck - Stricken/Struck","Vurmak, çarpmak, grev, çarpma, darbe","Sıtrayk - Sıtrak - Sitrikin","genel","0"
"Set ones heart","Çok istemek, gönül bağlamak","","deyim","0"
"Lime","Kireç, ıhlamur, ıhlamur ağacı","","genel","0"
"Linden","Ihlamur, ıhlamur ağacı","Lindın","genel","0"
"Thirsted","Susadım","","genel","0"
"Niece","Kız yeğen","","genel","0"
"Stall","Tezgah (pazarda/sergide)","Sıtol","genel","0"
"Pirate","Korsan","Payrıt","genel","0"
"Azerbaijan","Azerbaycan","Ezırbaycan","genel","0"
"Azerbaijani","Azeri, azerice, azerbaycanlı","Ezırbaycani","genel","0"
"Slush","Eriyen kar, sulu kar, sulu çamur","Sılaş","genel","0"
"Slash","Taksim","Sıleş","genel","0"
"Firefly","Ateşböceği","","genel","0"
"Georgia","Gürcistan","Corca","genel","0"
"Georgian","Gürcistanlı, gürcüce, gürcü, gürcü dili","Corcın","genel","0"
"Lentil","Mercimek","Lentıl","genel","0"
"Clove","Karanfil","Kılov","genel","0"
"Grinder","Öğütücü","Gırayndır","genel","0"
"Scrub","Ovmak","","genel","0"
"Trauma","Travma","Tırama","genel","0"
"Traumas","Travmalar","Tıramıs","genel","0"
"Lemony","Limonlu","Lemıni","genel","0"
"Syrup","Şerbet, şurup","Sirap","genel","0"
"Cough syrup","Öksürük şurubu","Kaf sirap","genel","0"
"Sting","Sokmak, batmak, sokma, acı, ızdırap","","genel","0"
"Sting - Stung - Stung","Sokmak, batmak","","genel","0"
"Stung","Kafayı bulmuş, sarhoş","","genel","0"
"Caterpillar","Tırtıl","Ketipilır","genel","0"
"Penguin","Penguen","Penguin","genel","0"
"Heterogeneous","Heterojen","Hetırıciniyıs","genel","0"
"Intrude","İzinsiz girmek","","genel","0"
"Intrusion","İzinsiz girme","","genel","0"
"Domain","İhtisas, bilgi alanı, etkinlik alanı, arazi, saha, muhit","","genel","0"
"Virtually","Neredeyse, hemen hemen, sanal olarak, gerçekte, fiilen","","genel","0"
"Oman","Umman","Oman","genel","0"
"Omani","Ummanlı, ummana özgü","Omani","genel","0"
"Yemen","Yemen","Yemın","genel","0"
"Yemeni","Yemenli","Yemıni","genel","0"
"Poop","Dışkı, kaka","Puup","genel","0"
"Savour - Savor","Tat, tadını çıkarmak","Seyvır","genel","0"
"Savoury","İştah açıcı, lezzetli","Seyvıri","genel","0"
"Flavoured","Tatlandırılmış","Fıleyvırd","genel","0"
"Flavoury","Tatlı, lezzetli","Fıleyvıri","genel","0"
"Artichoke","Enginar","Artiçouk","genel","0"
"Globe artichoke","Enginar","Gılob artiçouk","genel","0"
"Feces","Dışkı","Fisis","genel","0"
"Anus","Anüs","Eynıs","genel","0"
"Prudish","İffet taslayan, bağnaz (dini konularda), dar görüşlü ve aşırı ahlakçı","Pırudış","genel","0"
"Byzantine","Bizans, bizanslı, bizansa özgü","Bizintin","genel","0"
"Chalk","Tebeşir","Çok","genel","0"
"Execute","İdam etmek, infaz etmek, uygulamak","Egziküut","genel","0"
"Amateur","Amatör","Emıçır","genel","0"
"Wasp","Eşek arısı","","genel","0"
"Lean meat","Yağsız et","","genel","0"
"Fence post","Çit direği","","genel","0"
"Rule out","Hariç bırakmak, çıkarmak, ortadan kaldırmak","","deyim","0"
"Hardly ever","Neredeyse hiç","","deyim","0"
"Half again as much","Bir buçuk misli, yarısı kadar daha","","deyim","0"
"Obedient","İtaatkar","Obidiınt","genel","0"
"Trolley","El arabası","Tıroli","genel","0"
"Quay","İskele, rıhtım","Kiy","genel","0"
"Cling - Clung - Clung","Yapışmak, tutunmak, sarılmak","","genel","0"
"Cult","Tarikat, kült","Kalt","genel","0"
"Velvet","Kadife","Velvıt","genel","0"
"Implicit","İma, örtülü, gizli","İmpilisit","genel","0"
"Sect","Mezhep, tarikat","","genel","0"
"Sectarian","Mezhep, mezhepsel, mezhepçi, tutucu, bağnaz, hizipçi","Sekteriın","genel","0"
"Pit","Çukur","","genel","0"
"Pity","Acıma, merhamet, yazık","","genel","0"
"Migraine","Migren","Maygıreyn","genel","0"
"Lebanon","Lübnan","Lebınan","genel","0"
"Lebanese","Lübnanlı, lübnana özgü","Lebınis","genel","0"
"Filth","Kirlilik, pislik","Filth","genel","0"
"Filthy","Pis","Filthi","genel","0"
"Mustard","Hardal","Mastırd","genel","0"
"Abhor","Tiksinmek, iğrenmek","Ebhor","genel","0"
"Dash","Tire (-), vurma, darbe, hızla koşmak, hızlı koşma, ani sıçrama, ileri atılma","Deş","genel","0"
"Jordan","Ürdün","","genel","0"
"Jordanian","Ürdünlü, ürdüne özgü","Cordeyniın","genel","0"
"Saudi Arabia","Suudi Arabistan","Saudi erıbia","genel","0"
"Saudi Arabian","Suudi Arabistanlı, Suudi arabistana özgü","Saudi erıbiın","genel","0"
"Kuwait","Kuveyt","Kuveyt","genel","0"
"Kuwaiti","Kuveytli, Kuveyte özgü","Kuveyti","genel","0"
"Swift","Süratli, çevik, atik, Ebabil kuşu, Kılıç kırlangıcı, Karasağan kuşu","","genel","0"
"Patrol","Devriye, devriye gezme","Pıtrol","genel","0"
"Suspend","Askıya almak, ara vermek","Sıspend","genel","0"
"Resume","Sürdürmek, kaldığı yerden devam etmek, yeniden başlatmak, özet, özetleme","","genel","0"
"Destitute","Muhtaç","Destitüut","genel","0"
"Mayonnaise","Mayonez","Meyıneyz","genel","0"
"Morose","Asık suratlı, suratsız","Mıros","genel","0"
"JUST AS / SO","","","genel","0"
"Loaf","Kaytarmak, somun, ekmek somunu","Louf","genel","0"
"Chic","Şık","Şik","genel","0"
"Wool","Yün","Vul","genel","0"
"Riot","İsyan etmek, ayaklanmak, isyan, ayaklanma","Rayıt","genel","0"
"Vulgar","Edebe aykırı, kaba, bayağı","Volgır","genel","0"
"Retain","Sürdürmek, muhafaza etmek","","genel","0"
"Casualty","Kazazede, yaralı/ölü, acil (hastanedeki)","Kejvulti","genel","0"
"Morocco","Fas","Mıroko","genel","0"
"Moroccan","Faslı, fasa özgü","Mırokın","genel","0"
"Algeria","Cezayir","Elciria","genel","0"
"Algerian","Cezayirli, cezayire özgü","Elciriın","genel","0"
"Tunis","Tunus","Tunıs","genel","0"
"Tunisia","Tunus","Tunija","genel","0"
"Tunisian","Tunuslu, Tunusa özgü","Tunijın","genel","0"
"Desolate","Tenha, ıssız","Desılıt","genel","0"
"Survey","Anket, araştırmak, araştırma","Sörvey","genel","0"
"Lawn","Çimenlik, çimen","Laan","genel","0"
"Harness","Koşum, koşum takımı, koşum takmak, himayesi altına almak, istifade etmek, yararlanmak, belirli bir amaç için kullanmak","Harnıs","genel","0"
"Expenditure","Gider, masraf","İkspendiçır","genel","0"
"Expedition","Keşif","Ekspidişın","genel","0"
"Oar","Kürek (Kayıkta vs. kullanılan)","Or","genel","0"
"Citrus","Turunçgil, narenciye","Sitrıs","genel","0"
"Spike","Başak, sivri uç, sivri uçlu çubuk, sivri uçlu demir","Sıpayk","genel","0"
"Lavender","Lavanta","Lavındır","genel","0"
"Rosemary","Biberiye","Rozmeri","genel","0"
"Bosnia-Herzegovina","Bosna Hersek","Basnia Hörtzigovina","genel","0"
"Bosnia-Herzegovinan","Bosna Hersekli, Bosna Herseğe özgü","Basnia Hörtzigovinın","genel","0"
"Kosovo","Kosova","Kosovo","genel","0"
"Kosovan","Kosovalı, Kosovaya özgü","Kosıvın","genel","0"
"Farthest","En uzak","Farthıst","genel","0"
"Monarchy","Monarşi","Monarki","genel","0"
"Livestock","Canlı hayvan, çiftlik hayvanları, hayvancılık","Layvsıtak","genel","0"
"Orchestra","Orkestra","Orkıstıra","genel","0"
"Prompt","Çabuk, hızlı (cevap), sahnede oyuncuya hatırlatılan söz, sufle etmek, suflörlük yapmak, uyarı","Pırampt","genel","0"
"Albania","Arnavutluk","Albeynia","genel","0"
"Albanian","Arnavut, Arnavutluğa özgü","Albeyniın","genel","0"
"Okra","Bamya","Okra","genel","0"
"Okras","Bamyalar","Okrıs","genel","0"
"Woodwind","Üflemeli çalgılar (Tahtadan yapılmış)","","genel","0"
"Gombo","Bamya","Gambo","genel","0"
"Apprenticeship","Çıraklık","Apırentisşip","genel","0"
"Cumin","Kimyon","Kümın","genel","0"
"Lithuania","Litvanya","Lithuveynia","genel","0"
"Lithuanian","Litvanyalı, Litvanyaya özgü","Lithuveyniın","genel","0"
"Ireland","İrlanda","Ayrlınd","genel","0"
"Irish","İrlandalı, İrlandaya özgü","Ayriş","genel","0"
"Latter","İkisinden sonuncusu, sonuncusu","Ledır","genel","0"
"Iceland","İzlanda","Ayslınd","genel","0"
"Icelander","İzlandalı","Ayslındır","genel","0"
"Icelandic","İzlandaca","Ayslendik","genel","0"
"Fall short","Yetersiz kalmak, eksik gelmek, az gelmek","","deyim","0"
"Irrespective of","-e bakmaksızın, -e aldırmadan, hesaba katmadan, düşünmeden","","deyim","0"
"Respective","Herkes kendi, şahsi, ayrı ayrı, saygı değer, dikkatli","","genel","0"
"Respectively","Sırasıyla, sırayla, ayrı ayrı","","genel","0"
"Eligible","Elverişli, seçilebilir, uygun kimse","Elicıbıl","genel","0"
"Dispatch","Sevk, sevk etmek, göndermek, yollamak","","genel","0"
"Pin down","Sıkboğaz etmek, sıkıştırmak","","deyim","0"
"Ingenuity","Maharet, ustalık, hüner, beceri","İncinüiti","genel","0"
"Renaissance","Rönesans","Renisans","genel","0"
"Robe","Bornoz, robdöşambr","","genel","0"
"Bathrobe","Bornoz","","genel","0"
"Denmark","Danimarka","Denmark","genel","0"
"Danish","Danimarkalı, Danimarkaca","Deyniş","genel","0"
"Template","Şablon","Tempılıt","genel","0"
"Narrate","Anlatmak, hikaye etmek, öykülemek, aktarmak","Nerreyt","genel","0"
"Narrator","Anlatıcı","Nerreytır","genel","0"
"Narrative","Hikaye, öykü, anlatı, hikaye tarzında","Nerretiv","genel","0"
"Rhyme","Uyak, kafiye","Raym","genel","0"
"Tongue twister","Tekerleme","","genel","0"
"Blast - Blasted - Blasted","Patlamak","","genel","0"
"Ducky","Ördek yavrusu","Daki","genel","0"
"Tactile","Dokunma duyusuyla algılanabilen, elle tutulur, dokunulabilir","","genel","0"
"Jealous","Kıskanç","","genel","0"
"Jealousy","Kıskançlık","","genel","0"
"Procedure","Prosedür","Pırısicır","genel","0"
"Raspberry","Ahududu","Rezberi","genel","0"
"Berry","Kırmızı orman meyvesi","","genel","0"
"Lose - Loose","Kaybetmek - Gevşek","Luuz - Luus","genel","0"
"Loose","Gevşek","Luus","genel","0"
"Loosen","Gevşetmek","Luusın","genel","0"
"Stationery","Kırtasiye","Sıteyşıneri","genel","0"
"Stationary","Hareketsiz, yerleşik, sabit","Sıteyşıneri","genel","0"
"Chip","Çip","Çip","genel","0"
"Chips","Çipler, cips","Çips","genel","0"
"Comma","Virgül","Kama","genel","0"
"Commas","Virgüller","Kamıs","genel","0"
"Pecker","Ağaçkakan","Pekır","genel","0"
"Woodpecker","Ağaçkakan","","genel","0"
"Soar","Fırlamak (fiyatlar vb.), aniden yükselmek","Sor","genel","0"
"Sore","Yara, ağrılı, ıstıraplı","Sor","genel","0"
"Cherry","Kiraz","","genel","0"
"Sour cherry","Vişne","Savır çeri","genel","0"
"Cherish","Üzerine titremek, el üstünde tutmak, değer vermek","","genel","0"
"Cheer","Neşe, neşelendirmek","","genel","0"
"Cheer up","Neşelendirmek","","deyim","0"
"Chill","Ürpermek, üşümek, ürperme, üşüme","","genel","0"
"Chilly","Serin","","genel","0"
"Wear out","Yıpratmak, eskitmek, bitkin düşmek","","deyim","0"
"Precede","-den önce gelmek, önünde olmak","","genel","0"
"Recede","Geri çekilmek, gerilemek, geri plana çekmek","","genel","0"
"Sway","Sallanmak, salınmak","","genel","0"
"Swing - Swung - Swung","Sallanmak","","genel","0"
"Hang - Hanged/Hung - Hanged/Hung","Asmak","","genel","0"
"Cocoon","Koza","Kıkun","genel","0"
"Conundrum","Bilmece, muamma","Kınandırım","genel","0"
"Literary","Edebi","Lidıreri","genel","0"
"Literally","Kelimesi kelimesine","Lidırıli","genel","0"
"Myriad","Çok büyük sayı, sayısız, pek çok","Miriıd","genel","0"
"Mitigate","Yatıştırmak, hafifletmek, azaltmak, dindirmek, sakinleştirmek","Mitigeyt","genel","0"
"Chap","Çatlamak (cilt vs.), çatlatmak, yarmak, yarılmak, çatlak, yarık","Çep","genel","0"
"Pinch","Çimdik, çimdiklemek, tutam","","genel","0"
"Pinchers","Kerpeten, kıskaç, pense","","genel","0"
"Triplet","Üçüz","","genel","0"
"Quadruplet","Dördüz","Kuo-dıruplıt","genel","0"
"Quintuplet","Beşiz","Kuintaplıt","genel","0"
"Septuplet","Yediz","Septaplıt","genel","0"
"Dang","Kahrolası, lanetli","Deng","genel","0"
"Dung","Gübre, dışkı, pislik","Dang","genel","0"
"Sextuplet","Altız","Sekstaplıt","genel","0"
"Haze","Pus, sis","Heyz","genel","0"
"Hazy","Puslu, sisli","Heyzi","genel","0"
"Hyperbole","Mübalağa, abartı","Haypırbıli","genel","0"
"Flag","Güçsüzleşmek, kuvveti kesilmek, zayıflamak","","genel","0"
"Semen","Meni","Simın","genel","0"
"Decry","Kötülemek, rezil etmek, azarlamak","","genel","0"
"Auxiliary","Yardımcı (yardımcı kuvvet gibisinden)","Agzılıri","genel","0"
"Seedy","Tohumlu, hırpani, kötü halde, yırtık pırtık, pejmürde","","genel","0"
"Hastily","Aceleyle","Heystili","genel","0"
"Galvanize","Harekete geçirmek, canlandırmak, ateşlemek","Gelvinayz","genel","0"
"Competitor","Yarışmacı","Kımpetıtır","genel","0"
"Contestant","Yarışmacı","Kıntestınt","genel","0"
"Contest","Yarışma","Kantest","genel","0"
"Rake","Tırmık, tırmıklamak","Reyk","genel","0"
"Rake up the past","Eski defterleri açmak","","deyim","0"
"Vilify","Yermek, saygınlığını azaltmak, kötülemek","","genel","0"
"Fore","Önde, başta, ilk, pruva","For","genel","0"
"Horseshoe","Nal","","genel","0"
"Precede","-den önce gelmek, önünde olmak","Pırısid","genel","0"
"Proceed","İlerlemek, devam etmek","Pırısid","genel","0"
"Proceed","İlerleme, devam etme","Pırosid","genel","0"
"Bay","Koy, defne, defne ağacı","Bey","genel","0"
"Aluminum","Alüminyum","Alumınım","genel","0"
"Foil","Folyo","Foil","genel","0"
"Aluminum foil","Aliminyum folyo","Alumınım foil","genel","0"
"Crumple","Buruşturmak, kırıştırmak","","genel","0"
"Crumble","Ufalamak","","genel","0"
"Amicable","Arkadaşça, dostça","Emikıbıl","genel","0"
"Amicable divorce(s)","Dostça boşanma(lar)","","genel","0"
"Vocational","Mesleki","Vokeyşınıl","genel","0"
"Vocational High School","Meslek Lisesi","Vokeyşınıl Hay Sıkul","genel","0"
"Vocation","Meslek, iş, kabiliyet, beceri","Vokeyşın","genel","0"
"Vacation","Tatil","Veykeyşın","genel","0"
"Fossil","Fosil","Fasıl","genel","0"
"Reverberate","Yansımak, aksetmek, yansıtmak, aksettirmek","Rivörbıreyt","genel","0"
"Realtor","Emlakçı","Riıltır","genel","0"
"Exhort","Tembih etmek, öğütlemek","İgzort","genel","0"
"Exert","Sarf etmek, harcamak","İgzört","genel","0"
"Exalt","Yüceltmek, methetmek, gururlandırmak, heyecanlandırmak, güçlendirmek","İgzolt","genel","0"
"Pact","Anlaşma","Pekt","genel","0"
"Shipyard","Tersane","Şipyard","genel","0"
"Palm","Palmiye","","genel","0"
"Equator","Ekvator","Ekueytır","genel","0"
"Cuba","Küba","Küba","genel","0"
"Cuban","Kübalı, Küba ile ilgili","Kübın","genel","0"
"Backburner","İkinci derecede olan, önemsiz","","genel","0"
"Garden-variety","Sıradan","","genel","0"
"Weather","Tehlikeyi bertaraf etmek, savuşturmak, aşınmak, çatlamak, solmak","","genel","0"
"Absenteeism","Devamsızlık","Ebsıntizım","genel","0"
"Amenable","Sorumlu, yükümlü, mükellef","Emenibıl","genel","0"
"Circumvent","Tekerine çomak sokmak, kösteklemek, bozmak","Sörkımvent","genel","0"
"Carob","Keçi boynuzu","Kerıb","genel","0"
"At one point","Bir ara","","genel","0"
"Veritable","Hakiki, gerçek, sahici, tam","Veritıbıl","genel","0"
"Afflict","Izdırap vermek, acı vermek, eziyet etmek","Afılikt","genel","0"
"Affliction","Izdırap, acı, bela","Afılikşın","genel","0"
"Icky","Berbat, iğrenç","İki","genel","0"
"Murmur","Mırıldanma, uğultu, mırıldanmak, söylenmek, homurdamak","Mörmır","genel","0"
"Propensity","Temayül, eğilim, meyil","Pırıpensiti","genel","0"
"Bleep - Bleeped","Biplemek","","genel","0"
"Cascade","Basamaklandırmak, aşamalandırmak, küçük şelale","Keskeyd","genel","0"
"Hub","Merkez, göbek","Hab","genel","0"
"Make do with","- ile idare etmek, - ile yetinmek","","deyim","0"
"Chore","Günlük ev işi","Çor","genel","0"
"Seldom","Nadiren, seyrek","Seldım","genel","0"
"Nepal","Nepal","Nipal","genel","0"
"Nepali","Nepalli, Nepale özgü","Nipali","genel","0"
"Nepalese","Nepalli, Nepale özgü","Nepıliz","genel","0"
"Philippines","Filipinler, filipin","Filipins","genel","0"
"Philippine","Filipinli, Filipine özgü","Filipin","genel","0"
"Taiwan","Tayvan","Tayvan","genel","0"
"Taiwanese","Tayvanlı, Tayvana özgü","Tayvınis","genel","0"
"Pi","Pi sayısı","Pay","genel","0"
"Plumber","Su tesisatçısı","Pılamır","genel","0"
"Welder","Kaynakçı","","genel","0"
"Porter","Hamal, yük taşıyıcısı (otellerdeki görevliler gibi)","","genel","0"
"Contempt","Aşağılama","Kıntempt","genel","0"
"Dong","Çan sesi, cinsel organ","Don","genel","0"
"Martial art","Dövüş sanatı, savaş sanatı","Marşıl art","genel","0"
"Incidence","Tesadüt, rastlantı, vaka, etki","","genel","0"
"Downright","Dürüst, açık, kesin, dobra dobra konuşan, düpedüz","","genel","0"
"Yeast","Maya","Yist","genel","0"
"Fizzy","Gazlı, köpüklü, kabarcıklı, fışırtılı","","genel","0"
"Fizzy drink","Gazlı içecek","","genel","0"
"Perish","Can vermek, ruhunu teslim etmek, helak olmak, yok olmak, telef olmak","Periş","genel","0"
"Perishable","Çabuk çürüyen (yiyecek vs.), kolay bozulan, dayanıksız (yiyecek vs.)","","genel","0"
"Advent of","Başlangıcıyla, ortaya çıkışıyla","Edvent ov","genel","0"
"Blues","Caz, hüzün","","genel","0"
"Pussy","Kadın cinsel organı","Pusi","genel","0"
"Absolute","Tam, mutlak","Ebsılüut","genel","0"
"Obsolete","Kullanılmaz olmuş","Absılit","genel","0"
"Anal","Anal","Eynıl","genel","0"
"Stammer","Kekelemek","Sıtemır","genel","0"
"Stutter","Kekelemek","Sıtadır","genel","0"
"Boob","Göğüs","Buub","genel","0"
"Crusade","Haçlı seferi","Kuruseyd","genel","0"
"Adultery","Zina","Edoltıri","genel","0"
"Italy","İtalya","İtıli","genel","0"
"Italian","İtalyan","İteliın","genel","0"
"Butane","Butan","Büteyn","genel","0"
"Bhutanese","Butanlı, Butana özgü","Bütinis","genel","0"
"Meek","Uysal, sakin, ezik","Miik","genel","0"
"Asia","Asya","Eyja","genel","0"
"Asian","Asyalı, Asyaya özgü","Eyjın","genel","0"
"Betray","İhanet etmek","","genel","0"
"Betrayer","Hain","","genel","0"
"Mechanic","Tamirci","Mikenik","genel","0"
"Chemist","Kimyacı","Kemist","genel","0"
"Astronaut","Astronot","Estırınat","genel","0"
"Herald","Müjdelemek, müjdeci, elçi, müjde","Herıld","genel","0"
"Bolivia","Bolivya","Bılivia","genel","0"
"Bolivian","Bolivyalı","Bıliviın","genel","0"
"Montenegro","Karadağ","Mantınegro","genel","0"
"Montenegrin","Karadağlı, Karadağa özgü","Mantınegrin","genel","0"
"Baby sitter","Çocuk bakıcısı","","genel","0"
"Mover","Nakliyeci","","genel","0"
"Cheer for","Sesli tezahürat etmek","","deyim","0"
"Cheetah","Çita","Çita","genel","0"
"Leopard","Leopar","Lepırd","genel","0"
"Ejaculate","Dışarı atmak","İcekıleyt","genel","0"
"Ejaculation","Dışarı atma","İcekıleyşın","genel","0"
"Sperm","Sperm","Sipörm","genel","0"
"Bamboo","Bambu","Bembuu","genel","0"
"Pyjama","Pijama","Picama","genel","0"
"Philosopher","Filozof","Fılasıfır","genel","0"
"Cautious","Temkinli","Koşıs","genel","0"
"Caution","İhtiyat, temkin, dikkat, teyakkuz","Koşın","genel","0"
"Precaution","Tedbir, önlem","Pırikoşın","genel","0"
"Rein","Dizgin, yular, kontrol etmek","Reyn","genel","0"
"Palate","Damak","Palıt","genel","0"
"Balkan","Balkan","Balkın","genel","0"
"Digger","Kepçe","","genel","0"
"Acre","İngiliz dönümü (4046 m2)","Eykır","genel","0"
"Acre(s)","İngiliz dönümü (4046 m2)","Eykırs","genel","0"
"Massage","Masaj, masaj yapmak","Mısaj","genel","0"
"Cubic meter","Metreküp","Kübik mitır","genel","0"
"Square meter","Metrekare","Sıkuer mitır","genel","0"
"Masseur","Masör","Mesuur","genel","0"
"Interior ministry","İçişleri bakanlığı","İntiriır ministiri","genel","0"
"Tonne / Ton","Ton","Tan","genel","0"
"Crust / Eye crust","Çapak","","genel","0"
"Foreign ministry","Dışişleri bakanlığı","","genel","0"
"Organized industrial site","Organize sanayi bölgesi","","genel","0"
"Wedding table","Nikah masası","","genel","0"
"Error margin","Hata payı","","genel","0"
"Interior","İç, dahili","İntiriır","genel","0"
"Inferior","Alt, aşağı derecede","İnfiriır","genel","0"
"Span","Açıklık (köprü kuleleri arasında vs.), süre, karış","Sıpen","genel","0"
"Tonsil","Bademcik","Tansıl","genel","0"
"Hawk","Şahin, doğan, atmaca","Hak","genel","0"
"Virgin","Bakir","Vörcın","genel","0"
"Virginity","Bakirlik","Vırcıniti","genel","0"
"Pump","Pompa, pompalamak","Pamp","genel","0"
"Sympathetic","Sempatik","Simpıthetik","genel","0"
"Slovakia","Slovakya","Sılıvakia","genel","0"
"Slovakian","Slovakyalı, Slovakyaya özgü","Sılıvakiın","genel","0"
"Insurer","Sigortacı","İnşurır","genel","0"
"Empathetic","Empatik","Empıthetik","genel","0"
"Directorate","Müdürlük","Direktırıt","genel","0"
"Geology","Jeoloji","Cialıci","genel","0"
"Geologist","Jeolog","Cialıcıst","genel","0"
"Geologic","Jeolojik","Cialıcik","genel","0"
"Slovenia","Slovenya","Sılıvinia","genel","0"
"Slovenian","Slovenyalı","Sılıviniın","genel","0"
"Zombie","Zombi","Zambi","genel","0"
"Geography","Coğrafya","Ciagrıfi","genel","0"
"Geographer","Coğrafyacı","Ciagrıfır","genel","0"
"Geometry","Geometri","Ciamıtri","genel","0"
"Appendix(es)","Apandis, ek, ilave","Ipendiks(ıs)","genel","0"
"Vindictive","Kindar, kinci","","genel","0"
"Alcohol","Alkol","Alkahol","genel","0"
"Installment","Taksit","","genel","0"
"Millimetre","Milimetre","Milimitır","genel","0"
"Centimetre","Santimetre","Sentimitır","genel","0"
"Pimp","İnsan pazarlayan","Pimp","genel","0"
"Dangler","Çapkın","Dengılır","genel","0"
"Womanizer","Çapkın","","genel","0"
"Hydraulic","Hidrolik","Haydırolik","genel","0"
"Turbine","Türbin","Törbayn","genel","0"
"Wind turbine","Rüzgar türbini","Vind törbayn","genel","0"
"Stinginess","Cimrilik","","genel","0"
"Piggy","Yavru domuz, domuzcuk","","genel","0"
"Piggy bank - Penny bank - Money box","Kumbara","","genel","0"
"Stammerer - Stutterer","Kekeme","","genel","0"
"Assassinate","Suikast düzenlemek","Esesineyt","genel","0"
"Assassin","Suikastçi","Esesin","genel","0"
"Assassination","Suikast","Esesineyşın","genel","0"
"Hairdresser","Kuaför","","genel","0"
"Sulk about","-ile ilgili trip atmak","Salk abaut","genel","0"
"Infamy","Rezillik","İnfımi","genel","0"
"Disgrace","Rezillik","","genel","0"
"Be disgraced","Rezil olmak","","genel","0"
"Scales","Terazi","","genel","0"
"At certain intervals","Belirli aralıklarla","","deyim","0"
"Infertile","Kısır, verimsiz","İnförtıl","genel","0"
"Sterile","Kısır","Sıterıl","genel","0"
"Curve - Carve","Eğmek, bükmek, eğri - Oymak","Körv - Karv","genel","0"
"Curvature","Eğrilik","Körviçır","genel","0"
"Crookedness","Eğrilik","","genel","0"
"Birth date","Doğum tarihi","","genel","0"
"Drill","Tatbikat","","genel","0"
"Military exercise","Tatbikat","","genel","0"
"Oblique","Eğik","Oblig","genel","0"
"Obliqueness","Eğrilik","Oblignıs","genel","0"
"Urology","Üroloji","Yürolıci","genel","0"
"Lisp","Peltek konuşmak, pelteklik","Lisp","genel","0"
"Lisper","Peltek","Lispır","genel","0"
"Deposit","Emanet","Dipazit","genel","0"
"Hydroelectric","Hidroelektrik","Haydıroilektirik","genel","0"
"Territorial waters","Kara suları","Teritoriıl votırs","genel","0"
"Earringed","Küpeli","","genel","0"
"Dentistry","Diş hekimliği","Dentistıri","genel","0"
"Diverge","Sapmak, birbirinden uzaklaşmak","Dayvörç","genel","0"
"Deviate","Sapmak","Divieyt","genel","0"
"Crossbreed","Melez","","genel","0"
"Crossbred","Melez","","genel","0"
"Denounce","İhbar etmek","","genel","0"
"Denouncer","İhbarcı","","genel","0"
"Baldness","Kellik","","genel","0"
"Folk song","Türkü","Fouk song","genel","0"
"Allowed","İzinli","","genel","0"
"Broom","Süpürge","","genel","0"
"Sweeper","Süpürge","","genel","0"
"Floury","Unlu","Fılavıri","genel","0"
"Steam","Buhar","Sıtim","genel","0"
"Steamy","Buharlı","Sıtimi","genel","0"
"Police station","Karakol","","genel","0"
"Saucy","Yılışık, soslu","Sasi","genel","0"
"Volume","Hacim","Volüum","genel","0"
"Supply - Demand","Arz - Talep","","genel","0"
"Dip","Daldırmak, batırmak (Sıvı bir şeyin içine)","","genel","0"
"Wigged","Peruklu","","genel","0"
"Windfall","Beklenmedik para","","genel","0"
"Persian","Farsça, İranlı, Acem","Pörjın","genel","0"
"Close up","Yakından, yakın mesafeden (çekim, görüntü alma vs.)","","deyim","0"
"From short distance","Yakın mesafeden","","deyim","0"
"Marital status","Medeni durum","Meritıl sıtatıs","genel","0"
"Marital - Martial","Evliliğe ilişkin - Savaşa/Dövüşe ilişkin","Meritıl - Marşıl","genel","0"
"Hang up","Telefonu kapatmak","","deyim","0"
"Romance","Romantizim, romantiklik","Romens","genel","0"
"Romentic","Romantik","Romentik","genel","0"
"Watermelon","Karpuz","Votırmelın","genel","0"
"Melon","Kavun","Melın","genel","0"
"Chickpea","Nohut","Çikpi","genel","0"
"January","Ocak","Cenüveri","genel","0"
"February","Şubat","Febyuveri","genel","0"
"Maternity leave","Doğum izni","","genel","0"
"Flirt","Flört, flört etmek","Filört","genel","0"
"Divorce suit - Divorce case","Boşanma davası","","genel","0"
"Bend","Viraj","","genel","0"
"Organization","Organizasyon","Organazeyşın","genel","0"
"Humanitarian","İnsani, insancıl, yardımsever kimse","Hümeniteriın","genel","0"
"Humanitarian relief organization","İnsani yardım kuruluşu","","genel","0"
"Piano","Piyano","Piano","genel","0"
"Serum","Serum","Sirım","genel","0"
